id,moves,winner
NKOs1ZY9,"['d4', 'b6', 'c4', 'Bb7', 'Nc3', 'd6', 'Nf3', 'Nd7', 'e4', 'Ngf6', 'Bd3', 'g6', 'O-O', 'Bg7', 'Bg5', 'O-O', 'Re1', 'c5', 'h3', 'cxd4', 'Nxd4', 'Ne8', 'Nf3', 'Ndf6', 'e5', 'dxe5', 'Rxe5', 'Qd6', 'Nb5', 'Qd7', 'Qe2', 'e6', 'Be4', 'Nxe4', 'Rxe4', 'Bxe4', 'Qxe4', 'Bxb2', 'Rb1', 'Bf6', 'Qxa8', 'Bxg5', 'Nxg5', 'Nf6', 'Qf3', 'a6', 'Nc3', 'Rd8', 'Qxf6', 'Qd3', 'Rd1', 'Qf5', 'Rxd8#']",white
9WIl3E9w,"['e4', 'b6', 'd4', 'e6', 'Nc3', 'h6', 'e5', 'g5', 'Bd3', 'Bb7', 'Nf3', 'Ne7', 'O-O', 'Bg7', 'h3', 'Ng6', 'Be3', 'O-O', 'g4', 'Nc6', 'Qd2', 'Nb4', 'Nxg5', 'Nxd3', 'cxd3', 'hxg5', 'Bxg5', 'f6', 'exf6', 'Bxf6', 'Bxf6', 'Qxf6', 'Ne4', 'Qf3', 'Qg5', 'Kh7', 'Qh5+', 'Kg7', 'Rae1', 'Rh8']",black
L2IGR4ar,"['e4', 'e6', 'd4', 'd5', 'Nd2', 'dxe4', 'Nxe4', 'Bd7', 'Nf3', 'Bc6', 'Bd3', 'Nd7', 'O-O', 'Ngf6', 'Ng3', 'Be7', 'Re1', 'b6', 'b3', 'O-O', 'Bb2', 'Bb7', 'c4', 'c5', 'Rc1', 'cxd4', 'Nxd4', 'Nc5', 'Bf1', 'Qc7', 'Nb5', 'Qc6', 'Nf5', 'exf5', 'Rxe7', 'Nfe4', 'b4', 'Rad8', 'Qf3', 'Nd3', 'Bxd3', 'Rxd3', 'Qxd3', 'Nxf2', 'Qg3', 'Ng4', 'Nd4', 'Qf6', 'Rxb7', 'Qg5', 'Rf1', 'f4', 'Rxf4']",white
f3qjB80v,"['Nf3', 'e6', 'c3', 'd5', 'd4', 'Nf6', 'Nbd2', 'Bd6', 'e4', 'O-O', 'e5', 'Bxe5', 'dxe5', 'Nfd7', 'Nd4', 'c5', 'f4', 'cxd4', 'cxd4', 'Nc6', 'Nf3', 'Qb6', 'Bb5', 'a6', 'Bxc6', 'bxc6', 'O-O', 'c5', 'Be3', 'cxd4', 'Bxd4', 'Qc7', 'Rb1', 'Nc5', 'Qd2', 'Qe7', 'Rfc1', 'Ne4', 'Qe3', 'Bd7', 'b3', 'Rfc8', 'a4', 'Rxc1+', 'Rxc1', 'Rc8', 'Rxc8+', 'Bxc8', 'f5', 'exf5', 'Nd2', 'g6', 'Nxe4', 'fxe4', 'Qf4', 'Be6', 'Kf2', 'Qc7', 'Qd2']",white
uhE1E77d,"['Nf3', 'd5', 'g3', 'c6', 'Bg2', 'Bf5', 'O-O', 'e6', 'd4', 'Nd7', 'Nh4', 'Bg6', 'c4', 'Bd6', 'Nc3', 'Ngf6', 'cxd5', 'exd5', 'e4', 'dxe4', 'Re1', 'O-O', 'Nxe4', 'Nxe4', 'Bxe4', 'Bxe4', 'Rxe4', 'Nf6', 'Re1', 'Qc7', 'Bg5', 'Nd5', 'Nf5', 'Rfe8', 'Nxd6', 'Qxd6', 'Qg4', 'f6', 'Bh6', 'Qf8', 'Rxe8', 'Rxe8', 'Rf1', 'Qf7', 'f4', 'Ne3', 'Qf3', 'Nxf1', 'Bxg7', 'Kxg7', 'Qxf1', 'Qxa2', 'Kg2', 'Qxb2+', 'Kh3', 'Re2', 'Kg4', 'Rxh2', 'Qd3', 'Qe2+', 'Qxe2', 'Rxe2', 'Kf3', 'a5', 'g4', 'Rd2', 'Ke3', 'Rb2', 'Kd3', 'a4', 'Kc3', 'a3', 'd5', 'cxd5', 'g5', 'fxg5', 'fxg5', 'Kg6', 'Kd4', 'Kxg5', 'Kc3', 'b5', 'Kd3', 'b4', 'Kd4', 'a2', 'Kxd5', 'a1=Q', 'Kc5']",black
6vXMAJjq,"['e4', 'c5', 'Nf3', 'Nc6', 'd4', 'cxd4', 'Nxd4', 'g6', 'c4', 'Bg7', 'Be3', 'Nf6', 'Nc3', 'O-O', 'Be2', 'd6', 'f3', 'Be6', 'O-O', 'Rc8', 'b3', 'Nxd4', 'Bxd4', 'a6', 'a4', 'b5', 'axb5', 'axb5', 'Nxb5', 'Nh5', 'Bxg7', 'Kxg7', 'Nd4', 'Nf4', 'Qd2', 'Nxe2+', 'Qxe2', 'Qb6', 'Qd2', 'Bd7', 'Kh1', 'Rb8', 'Rab1', 'Rfc8', 'Rfd1', 'Qa6', 'Ne2', 'Qa3', 'Qb2+', 'Qxb2', 'Rxb2', 'Rxc4', 'bxc4', 'Rxb2', 'Nc3', 'Rc2', 'Nd5', 'Rxc4', 'Nxe7', 'Ba4', 'Rb1', 'Bc2', 'Rc1', 'Bd3', 'Rxc4', 'Bxc4', 'Kg1', 'Kf6', 'Nc6', 'Ke6', 'Kf2', 'f5', 'Ke3', 'fxe4', 'Kxe4', 'Bd5+', 'Ke3', 'Bxc6', 'Kf2', 'Kf5', 'Kg3', 'h5', 'h3', 'g5', 'Kf2', 'h4', 'Ke2', 'Kf4', 'Kd3', 'Bb5+']",black
peQBesZK,"['e4', 'c5', 'Nf3', 'd5', 'd4', 'dxe4', 'Nfd2', 'Nf6', 'Nc3', 'cxd4', 'Ncxe4', 'Nxe4', 'Nxe4', 'e6', 'Bf4', 'Be7', 'Bb5+', 'Nd7', 'Bxd7+', 'Qxd7', 'O-O', 'O-O', 'Ng5', 'Bxg5', 'Bxg5', 'h6', 'Bf4', 'b6', 'Be5', 'Bb7', 'Qg4', 'f6', 'Bxd4', 'Qd5', 'Rfd1', 'e5', 'Bxb6', 'Qb5', 'Bc7', 'Qxb2', 'Rab1', 'Qxc2', 'Rxb7', 'Qxa2', 'Rbb1', 'a5', 'Bd6', 'Rfe8', 'h3', 'a4', 'Rd5', 'Qxd5', 'Rd1', 'Qc6', 'Bb4', 'a3', 'Bxa3', 'Rxa3', 'Rd7', 'Rc3', 'Qxg7#']",white
ldtCUIds,"['e4', 'e6', 'Nf3', 'c5', 'b4', 'b6', 'Be2', 'Bb7', 'bxc5', 'Bxe4', 'cxb6', 'Qxb6', 'Na3', 'd5', 'c4', 'Nc6', 'cxd5', 'exd5', 'O-O', 'Nf6', 'd3', 'Bg6', 'Rb1', 'Qa5', 'Rb5', 'Qa6', 'd4', 'Bxa3', 'Rb8+', 'Nxb8', 'Bxa6', 'Nxa6', 'Qa4+', 'Nd7', 'Re1+', 'Be4', 'Qxa3', 'Nc7', 'Ng5', 'f5', 'f3']",white
9zdrsQft,"['e4', 'e5', 'f4', 'exf4', 'Nf3', 'Be7', 'Bc4', 'Bh4+', 'Kf1', 'd6', 'd4', 'Bg4', 'Bxf4', 'Nc6', 'c3', 'Qf6', 'Bg3', 'Bxg3', 'hxg3', 'O-O-O', 'Rh4', 'h5', 'Nd2', 'g5', 'Rh1', 'Nge7', 'a4', 'Rh7', 'a5', 'Rdh8', 'a6', 'b6', 'Qb3', 'Bxf3', 'Nxf3', 'g4', 'e5', 'dxe5', 'dxe5', 'Nxe5', 'Bd5', 'gxf3', 'gxf3', 'Nxf3', 'Kg2', 'Rd8', 'Bxf3', 'Rd2+', 'Kh3', 'Qf5+', 'g4', 'Qxf3+']",black
tdl8gCTz,"['e4', 'c6', 'd4', 'd5', 'exd5', 'cxd5', 'Nf3', 'Bg4', 'Be2', 'e6', 'O-O', 'Nf6', 'h3', 'Bh5', 'c4', 'dxc4', 'Bxc4', 'Bd6', 'Bg5', 'O-O', 'Bxf6', 'Qxf6', 'Be2', 'Nc6', 'd5', 'exd5', 'Qxd5', 'Rad8', 'Nc3', 'Bg6', 'Qg5', 'Qe6', 'Rfe1', 'Qd7', 'Rad1', 'Rfe8', 'Bc4', 'Qc7', 'a3', 'a6', 'b4', 'Re7', 'Rxe7', 'Bxe7', 'Qg4', 'Re8', 'Re1', 'Qc8', 'Bd5', 'Bf6', 'Ne4']",white
